# SDSS (AB)                                                       
#  filters spectra  num Av  num Rv version
#        5     902      13       1       2
# lgTef  logg  Fe_H a_Fe   Av   Rv               SDSS_u               SDSS_g               SDSS_r               SDSS_i               SDSS_z
3.23667  0.00  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  0.50  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  1.00  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  1.50  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  2.00  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  2.50  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  3.00  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  3.50  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  4.00  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  4.50  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  5.00  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  5.50  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  6.00  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667  6.50  0.00  0.0 0.00 3.10              -5.2671              -0.6836               1.2097              -0.0717               0.1654
3.23667  7.00  0.00  0.0 0.00 3.10              -4.8482              -0.3954               1.3255              -0.1950               0.0340
3.23667  7.50  0.00  0.0 0.00 3.10              -4.5346              -0.2155               1.3618              -0.2774              -0.0317
3.23667  8.00  0.00  0.0 0.00 3.10              -4.1966              -0.0371               1.3992              -0.2903              -0.0251
