 ID    x    y  bsize          mjd    zpt  fluxADU  flux_err  X2norm  Npix  Nmask         Jyas2    Jyas2_err     SB   SB_err                                                                fitsfile   skip  imID filter CONVOL00 PHOTNORM  KSUM00  FSIG00  FSCAT00  FWHM  M5SIGMA  SKYADU   muJyas2  muJyas2_err  im_expnum  g_ixs_flag      peak_loc good_image      new_mjd  new_muJyas2  new_muJyas2_err
  2 2047 2300      3 56255.304405 30.494    -4.22      5.95    0.54     9      9 -1.333000e-07 1.881000e-07    NaN      NaN     ec0915.121124.155038_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     0      g TEMPLATE        t  0.5692   1.292    0.087 4.522   23.070   451.0 -0.133300       0.1881     155038        True  60517.761077       True 56028.745876     0.316024         0.292852
  2 2047 2300      3 56255.305900 30.494    -0.36      6.22    0.74     9      9 -1.128000e-08 1.966000e-07    NaN      NaN     ec0915.121124.155039_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     1      g TEMPLATE        t  0.5700   1.282    0.080 4.591   23.052   463.0 -0.011280       0.1966     155039        True  60517.761077       True 56028.747371     0.505997         0.306086
 12 2073 2271      3 56341.278127 30.494    15.86      3.77    1.46     9      9  5.014000e-07 1.190000e-07 24.650 0.257776     ec0915.130218.178882_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     7      g TEMPLATE        t  1.2445   1.383    0.123 4.517   23.591   815.0  0.501400       0.1190     178882        True  60567.597228       True 56036.000110     0.740161         0.157352
 12 2073 2271      3 56341.283970 30.494     7.27      3.72    0.76     9      9  2.299000e-07 1.177000e-07    NaN      NaN     ec0915.130218.178883_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     8      g TEMPLATE        t  1.2422   1.280    0.052 5.803   23.316   814.0  0.229900       0.1177     178883        True  60567.597228       True 56036.005953     0.381161         0.155633
 12 2073 2271      3 56341.286605 30.494     8.61      3.78    1.90     9      9  2.721000e-07 1.194000e-07    NaN      NaN     ec0915.130218.178884_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     9      g TEMPLATE        t  1.2456   1.339    0.088 5.206   23.391   833.0  0.272100       0.1194     178884        True  60567.597228       True 56036.008588     0.436961         0.157881
  1 2072 2281      3 56341.278127 30.494    -4.94      3.86    0.86     9      9 -1.561000e-07 1.221000e-07    NaN      NaN     ec0915.130218.178882_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     7      g TEMPLATE        t  1.2445   1.383    0.123 4.517   23.591   815.0 -0.156100       0.1221     178882        True  60557.825434       True 56054.239991     0.067051         0.207444
  1 2072 2281      3 56341.283970 30.494    -6.74      3.90    1.20     9      9 -2.132000e-07 1.234000e-07    NaN      NaN     ec0915.130218.178883_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     8      g TEMPLATE        t  1.2422   1.280    0.052 5.803   23.316   814.0 -0.213200       0.1234     178883        True  60557.825434       True 56054.245834    -0.029960         0.209652
  1 2072 2281      3 56341.286605 30.494     5.01      3.61    3.44     9      9  1.584000e-07 1.142000e-07    NaN      NaN     ec0915.130218.178884_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     9      g TEMPLATE        t  1.2456   1.339    0.088 5.206   23.391   833.0  0.158400       0.1142     178884        True  60557.825434       True 56054.248469     0.601376         0.194022
 13 2050 2286      3 56418.971400 30.494    15.28      4.10    1.52     9      9  4.829000e-07 1.295000e-07 24.690 0.291102  ec0915.130506.204626_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    23      g TEMPLATE        t  1.2265   1.068    0.105 5.309   23.266  1125.0  0.482900       0.1295     204626        True  60591.049535       True 56105.053439     1.373480         0.247433
  4 2094 2304      3 56341.278127 30.494     6.35      3.68    0.83     9      9  2.006000e-07 1.165000e-07    NaN      NaN     ec0915.130218.178882_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     7      g TEMPLATE        t  1.2445   1.383    0.123 4.517   23.591   815.0  0.200600       0.1165     178882        True  60480.628259       True 56107.999642     0.544531         0.191300
 14 2059 2285      3 56341.278127 30.494    -1.19      4.02    1.13     9      9 -3.748000e-08 1.272000e-07    NaN      NaN     ec0915.130218.178882_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     7      g TEMPLATE        t  1.2445   1.383    0.123 4.517   23.591   815.0 -0.037480       0.1272     178882        True   60513.85236       True 56107.999642     0.370705         0.200591
 14 2059 2285      3 56341.283970 30.494    -2.55      3.82    0.40     9      9 -8.055000e-08 1.207000e-07    NaN      NaN     ec0915.130218.178883_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     8      g TEMPLATE        t  1.2422   1.280    0.052 5.803   23.316   814.0 -0.080550       0.1207     178883        True   60513.85236       True 56108.005485     0.302785         0.190341
  4 2094 2304      3 56341.283970 30.494    -5.20      3.47    0.59     9      9 -1.643000e-07 1.098000e-07    NaN      NaN     ec0915.130218.178883_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     8      g TEMPLATE        t  1.2422   1.280    0.052 5.803   23.316   814.0 -0.164300       0.1098     178883        True  60480.628259       True 56108.005485    -0.054657         0.180298
  4 2094 2304      3 56341.286605 30.494     6.49      3.75    0.48     9      9  2.053000e-07 1.186000e-07    NaN      NaN     ec0915.130218.178884_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     9      g TEMPLATE        t  1.2456   1.339    0.088 5.206   23.391   833.0  0.205300       0.1186     178884        True  60480.628259       True 56108.008120     0.552249         0.194748
 14 2059 2285      3 56341.286605 30.494    10.52      3.75    0.20     9      9  3.327000e-07 1.185000e-07    NaN      NaN     ec0915.130218.178884_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     9      g TEMPLATE        t  1.2456   1.339    0.088 5.206   23.391   833.0  0.332700       0.1185     178884        True   60513.85236       True 56108.008120     0.954470         0.186872
  0 2069 2290      3 56341.278127 30.494     1.08      3.74    0.64     9      9  3.418000e-08 1.183000e-07    NaN      NaN     ec0915.130218.178882_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     7      g TEMPLATE        t  1.2445   1.383    0.123 4.517   23.591   815.0  0.034180       0.1183     178882        True  60473.788003       True 56111.839617     0.133214         0.176712
  0 2069 2290      3 56341.283970 30.494    -7.77      4.05    1.68     9      9 -2.455000e-07 1.279000e-07    NaN      NaN     ec0915.130218.178883_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     8      g TEMPLATE        t  1.2422   1.280    0.052 5.803   23.316   814.0 -0.245500       0.1279     178883        True  60473.788003       True 56111.845460    -0.284562         0.191052
  0 2069 2290      3 56341.286605 30.494    13.97      3.49    1.37     9      9  4.417000e-07 1.103000e-07 24.787 0.271055     ec0915.130218.178884_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     9      g TEMPLATE        t  1.2456   1.339    0.088 5.206   23.391   833.0  0.441700       0.1103     178884        True  60473.788003       True 56111.848095     0.741953         0.164762
 12 2073 2271      3 56418.971400 30.494    28.59      4.33    0.83     9      9  9.036000e-07 1.367000e-07 24.010 0.164290  ec0915.130506.204626_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    23      g TEMPLATE        t  1.2265   1.068    0.105 5.309   23.266  1125.0  0.903600       0.1367     204626        True  60567.597228       True 56113.693383     1.271985         0.180757
  2 2047 2300      3 56341.278127 30.494    -4.80      3.76    0.36     9      9 -1.517000e-07 1.188000e-07    NaN      NaN     ec0915.130218.178882_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     7      g TEMPLATE        t  1.2445   1.383    0.123 4.517   23.591   815.0 -0.151700       0.1188     178882        True  60517.761077       True 56114.719598     0.287377         0.184959
  2 2047 2300      3 56341.283970 30.494    -2.84      3.43    1.59     9      9 -8.984000e-08 1.083000e-07    NaN      NaN     ec0915.130218.178883_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     8      g TEMPLATE        t  1.2422   1.280    0.052 5.803   23.316   814.0 -0.089840       0.1083     178883        True  60517.761077       True 56114.725441     0.383687         0.168612
  2 2047 2300      3 56341.286605 30.494     6.23      4.03    0.64     9      9  1.969000e-07 1.274000e-07    NaN      NaN     ec0915.130218.178884_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     9      g TEMPLATE        t  1.2456   1.339    0.088 5.206   23.391   833.0  0.196900       0.1274     178884        True  60517.761077       True 56114.728076     0.830112         0.198349
  3 2057 2298      3 56255.304405 30.494    -0.04      5.93    1.56     9      9 -1.143000e-09 1.874000e-07    NaN      NaN     ec0915.121124.155038_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     0      g TEMPLATE        t  0.5692   1.292    0.087 4.522   23.070   451.0 -0.001143       0.1874     155038        True  60431.769287       True 56118.025297     0.270088         0.325437
  3 2057 2298      3 56255.305900 30.494    -2.73      6.41    2.16     9      9 -8.637000e-08 2.027000e-07    NaN      NaN     ec0915.121124.155039_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     1      g TEMPLATE        t  0.5700   1.282    0.080 4.591   23.052   463.0 -0.086370       0.2027     155039        True  60431.769287       True 56118.026792     0.122084         0.352006
  5 2046 2311      3 56255.304405 30.494    10.66      6.36    1.73     9      9  3.369000e-07 2.011000e-07    NaN      NaN     ec0915.121124.155038_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     0      g TEMPLATE        t  0.5692   1.292    0.087 4.522   23.070   451.0  0.336900       0.2011     155038        True   60410.27134       True 56124.745253     0.907022         0.328444
 11 2062 2275      3 56487.982626 30.494    -2.13      4.74    2.18     9      9 -6.741000e-08 1.499000e-07    NaN      NaN     ec0915.130714.218754_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    27      g TEMPLATE        t  1.2301   1.350    0.103 4.732   23.268  1307.0 -0.067410       0.1499     218754        True  60607.661585       True 56165.424721     0.274568         0.279510
