# wavelength_AA normalized_flux_plus_offset
# # Digitized from Rest+2012 SI Fig.S2 upper-left (lines_3.pdf)
# # Already continuum-normalized in the published figure; offset arbitrary.
5.349525220301316949e+03 3.748942500680800816e+00
5.351449008852044244e+03 3.709893689275500783e+00
5.353372797402771539e+03 3.598319440288286764e+00
5.355183421921103218e+03 3.746792716655046984e+00
5.357107210471830513e+03 3.870986258946847780e+00
5.359030999022557808e+03 3.881986343473514012e+00
5.360954787573286012e+03 3.870887014655886027e+00
5.362878576124013307e+03 3.984381258964396988e+00
5.364802364674740602e+03 4.045978373276186701e+00
5.366726153225467897e+03 4.038079291133261250e+00
5.370460566294526870e+03 4.182472100306251050e+00
5.372384354845254165e+03 4.012280355988965930e+00
5.374308143395981460e+03 3.910984761874888527e+00
5.376231931946709665e+03 3.846287408596981372e+00
5.378155720497436960e+03 3.843287940757070587e+00
5.380079509048164255e+03 3.747082051934081282e+00
5.382003297598891550e+03 3.753822266125623752e+00
5.383927086149618845e+03 3.749032583960289156e+00
5.385737710667950523e+03 3.918684592018268020e+00
5.387661499218677818e+03 4.050378712453902352e+00
5.389585287769405113e+03 4.030079437864128700e+00
5.391509076320132408e+03 3.969382392929598602e+00
5.393432864870859703e+03 3.940583226527770044e+00
5.395356653421587907e+03 3.978081536741199908e+00
5.397280441972315202e+03 3.897685263468403161e+00
5.399204230523042497e+03 3.862687145969584623e+00
5.401014855041374176e+03 3.913384946880915205e+00
5.402938643592101471e+03 3.956582933066035590e+00
5.404862432142828766e+03 3.754222296959961458e+00
5.406786220693556061e+03 3.643467195081992127e+00
5.408710009244283356e+03 3.710444113381526687e+00
5.410633797795011560e+03 3.702504570104593995e+00
5.412557586345738855e+03 3.756501861981588419e+00
5.414481374896466150e+03 3.719323423752104230e+00
5.416405163447193445e+03 3.631047917194574204e+00
5.418215787965525124e+03 3.686675105696208821e+00
