Teff,ebv,ln_sigma_mgb,ln_sigma_caii
5379.384358802573,0.9549657567046245,-0.29144464123373026,-0.32660565891897014
5417.962807446637,0.9920041465361238,-0.2943290278731623,-0.3331892396157312
5407.112373912159,0.9924204579392818,-0.3273345766448429,-0.34032637796720244
5394.155248140956,1.0005554639396406,-0.2946093123002069,-0.33143802804608746
5386.388953579445,0.9772588922597425,-0.30988590700779706,-0.34092184861831987
4256.468675271573,0.47811060883230677,-0.22412155277113,-0.5245262358876231
4255.713003410262,0.47600749558513406,-0.2258594355845887,-0.5363697118131365
4256.1276758189715,0.48662169689969226,-0.22999017341117572,-0.49855163964272636
5389.085764597725,0.9921445254400287,-0.3398036144103519,-0.33589819979122754
5402.500840944401,0.9892499727713898,-0.30543633002017223,-0.3421778778063796
5385.47744873017,0.9850253541209884,-0.35146451597974376,-0.3258964400354126
5385.4113850003705,0.9827805385997593,-0.3465844336954512,-0.35463225342941834
5390.823535454847,0.9929669884935486,-0.29259228683687105,-0.2944553721316672
5364.082298128285,0.9844088536527542,-0.28333954584673393,-0.3474566057505628
5384.800898982352,0.9599032575719812,-0.35536212516713594,-0.33566722225158163
5389.041076575799,0.9687756009291879,-0.3069035569239914,-0.3149077722364199
4262.205130759395,0.48015778053151686,-0.2287440629640521,-0.47813293555397357
5377.702877168873,0.9870841268013896,-0.311468271000979,-0.31524374786869913
5397.998995154692,0.9889006636287625,-0.3443363248204866,-0.3504439604621675
4263.168715617993,0.4842212917310718,-0.22781136416637243,-0.4820253981395314
5388.060344246512,0.9827014844925112,-0.2887300857090076,-0.3423229729421521
5374.817357555631,0.9807854453410769,-0.27404672675055397,-0.32379092541217613
5400.301278519803,0.9915944662339998,-0.32348921972152145,-0.31378548681041885
5371.6662839357205,0.9714657536409315,-0.3021548053184829,-0.35808667060780225
4256.954272079938,0.4872182199341161,-0.22491808413410508,-0.49655151589007757
4255.977405736768,0.4813539419628619,-0.2348905580362956,-0.5274288823154192
5380.615019910783,0.9778456017137824,-0.29773418824669234,-0.3243533202898852
5379.42613140564,0.975957278714058,-0.3103802628141185,-0.3227152182971108
5368.662663849035,0.9648653918622143,-0.29335679658048464,-0.3227853675248954
4256.788640352783,0.4800848019482012,-0.2273900203377395,-0.536723794357483
5414.966979200946,0.9906359785954146,-0.3489691988704529,-0.3412544066196157
5399.7579417673105,0.9978130134142624,-0.28405044919644173,-0.2943588509450251
5401.479221973137,0.9868698829198748,-0.3261732841680357,-0.34190715117112064
5406.242979319523,0.9933325119083165,-0.31384741747894734,-0.307729586568995
5382.281274030972,0.975039885947064,-0.33548731623953193,-0.3478344263959583
5409.392152635878,1.000398221434934,-0.31923868416586354,-0.3458948449224744
5381.176295213268,0.9682898091853397,-0.3011243627429201,-0.31908951863910345
5398.510891239471,0.9768782253090691,-0.2971368626702905,-0.2807577748063762
4257.941165402058,0.48200274479316624,-0.2270151123527571,-0.5266435033255992
5385.678296162072,0.9621790387695497,-0.338422228870947,-0.3564494035209618
4254.655159272984,0.4807506447940622,-0.22569903241446138,-0.51062521219277
5403.818438968972,1.011536120303768,-0.29526217022081447,-0.37527046891792687
5415.308474175099,0.9860936405865477,-0.3097486421068156,-0.3343250369277506
5376.8904442210105,0.9756091626621177,-0.3373663773545146,-0.3751065249778681
5384.226408074728,0.9844421660130951,-0.29764665511820376,-0.3811284102140455
5392.592680411661,0.9676077302526884,-0.3180926326397978,-0.32678430070664183
4256.990888077031,0.47135967762931236,-0.22371002977288598,-0.4935340811601987
5413.068378384623,0.9840131202175894,-0.30884567049115563,-0.37917489126580445
5380.133415665047,0.9643196982372794,-0.3075183339878576,-0.33892490353745736
5415.4984740330765,0.9907376751396015,-0.29667308277607163,-0.3306041442021087
5422.222391518833,0.999731241765588,-0.38074409477617227,-0.34332395425224166
5403.886852076524,1.0051064485934857,-0.30735554208306726,-0.3278286140347238
5382.832962239708,0.9775162896782073,-0.3011920086570729,-0.3347888007115444
4256.468675271573,0.47811060883230677,-0.22412155277113,-0.5245262358876231
4255.711751218798,0.47564704007838327,-0.2247708997958031,-0.5364640694988111
4256.082477888188,0.48673681588330825,-0.2300643213991483,-0.4978515010137759
5389.085764597725,0.9921445254400287,-0.3398036144103519,-0.33589819979122754
5403.27867135797,0.9898616714488251,-0.3049749967350888,-0.34197209915201193
5385.7984429125145,0.9768737603988736,-0.30937698951117976,-0.32955946547921916
5375.695769206033,0.9850761923233203,-0.34283350385167766,-0.3349334622276195
5383.946363041966,0.9885269941865066,-0.2974755204880296,-0.29970241780903745
5371.37957196941,0.983796731581159,-0.2938291198993366,-0.3475837342141627
5397.011945825746,0.9652371795333933,-0.34757061564096203,-0.32246261572784557
5387.176380347109,0.9614898004280229,-0.27048974396469094,-0.30540407394307084
4261.369733664868,0.47985965195836794,-0.22807088915615212,-0.4848891682810468
5385.632183658281,0.9780799070072453,-0.3262889958510642,-0.31857763286836077
5388.94529822124,0.9882572415316918,-0.35019203021283984,-0.36412929564317237
4267.65531021942,0.48374848660928366,-0.22930268216805513,-0.46221207936256475
5383.069772240913,0.9680824566029017,-0.2839161125687005,-0.3512356813657083
5378.386307498648,0.9817239482363558,-0.28432796438718766,-0.34256529548364634
5392.315597573044,0.9872737578343667,-0.3269807728381188,-0.31699114683271323
5387.844904322026,0.9789986781119534,-0.3215336936558913,-0.3544502022045488
4256.642785348369,0.4888643464898672,-0.22425621273301663,-0.487053777276771
4255.7263406853035,0.47984676008384153,-0.23745359001193894,-0.5353646942561677
5379.142072196384,0.9754220750559953,-0.28969027005882536,-0.32181445050219065
5371.834493236185,0.9651334507022423,-0.32362462233035894,-0.3502908027520806
5366.071108974891,0.9641562000100221,-0.29174814491394796,-0.32355077245934566
4257.494899739362,0.48276194678865925,-0.22839499683690523,-0.5369562836953654
5411.137609163762,0.9904591168144228,-0.3406158377973499,-0.33416539080618257
5412.6583147921565,0.9876415262258159,-0.27507470387249894,-0.2898549228750415
5400.182856490768,0.9882605794973216,-0.3317181536632671,-0.3349906644538066
5410.127221861883,0.9964759606029855,-0.31938672099630344,-0.31906273761907694
5386.080209677851,0.9781822582075683,-0.3276242114589079,-0.3498925483636599
5401.665553364062,1.0083592163823,-0.329753357057955,-0.3476582911169157
5369.509196652207,0.9712008088398234,-0.2794219092487527,-0.29994949357995426
