Teff,ln_sigma_mgb,ln_sigma_caii
5440.857037452523,-0.3510434757415541,-0.32420314462068966
5410.7807996328975,-0.30119486049063865,-0.2617908129142009
6640.48735386695,-0.22329276732670897,-0.2301788246047107
5428.428755031728,-0.3100666468652943,-0.3039582306952898
5431.37477311805,-0.3542363059462716,-0.3544826226607731
5425.570002541667,-0.28782005522774506,-0.3143405759922673
5419.582474108166,-0.31098536819753764,-0.3506336541841268
5433.059000322376,-0.3145927179165449,-0.3164994386082551
5427.502869385231,-0.3277057830701809,-0.3285417028693723
5417.271235150534,-0.340548205105494,-0.31735993786804156
5423.965344530224,-0.3598963189697239,-0.2939731634825217
5425.338009387361,-0.323719641675912,-0.2999210818466778
5429.2195531453945,-0.3458876759955936,-0.353205201598604
5443.156472191266,-0.30828300965101607,-0.3187246833694909
5419.824434574707,-0.3390970680436971,-0.3725517023452165
5417.248532394955,-0.3435287928519201,-0.343419356418463
5423.322979817843,-0.33924375924156863,-0.33373854805085357
5428.753014977032,-0.33815567120173845,-0.34123630466865884
5429.076328013468,-0.3128583850453455,-0.33214995702568956
5411.677341843737,-0.32842351776616435,-0.312884062860613
5444.01835931693,-0.3209370921605553,-0.33634228291925033
5421.4418329317305,-0.3727492336176953,-0.32630050794945176
5429.417183646968,-0.35504146098615597,-0.3015761815128313
6630.711010308453,-0.22483323957706922,-0.2699541906152486
6636.2686893587215,-0.22842756876334258,-0.2406529634652062
5426.519264973316,-0.3477860383289913,-0.27229464042417184
5424.577746442817,-0.337327551294946,-0.36563266826259566
6605.964535793584,-0.23555098675482875,-0.23549677847305775
5435.903523621869,-0.24768512272541737,-0.32890443907335115
6637.269937881172,-0.22528228939233944,-0.2740293276153657
6622.621659589653,-0.22958147213357233,-0.245186468209023
5423.497794516376,-0.30415349315996815,-0.30245236986372825
5425.967096902269,-0.32299684230379255,-0.2936509611375099
5437.9875970149205,-0.3498498929348485,-0.34294721106735504
5419.267705496197,-0.32430895492314943,-0.3192974112542032
5408.434162316405,-0.34975119640611035,-0.3352857410856613
6625.261713324416,-0.22965806496636357,-0.24617681919553905
5451.567546492839,-0.3004842562733876,-0.28663614170729096
6609.323757405883,-0.2251894617129513,-0.25084146863139445
5430.139791223742,-0.3482891612855547,-0.3355033367645842
5430.820299110255,-0.33198650124395435,-0.3125209978568816
5426.9770592331515,-0.3286181771677158,-0.33457515216964434
5450.545802691145,-0.3380060419201691,-0.3327578004682451
5438.907056657369,-0.3535173328822452,-0.34975144220258214
5415.931733262279,-0.2920222198718138,-0.3250639071355604
6635.562372072408,-0.22508004843190962,-0.2531799571607774
5410.7576745831275,-0.31330624283945985,-0.37126377694428286
5434.487158402358,-0.3213413139202749,-0.31343532776200755
5438.307935424291,-0.37190121120452546,-0.31915858056438434
5424.302575022012,-0.2983004418331472,-0.2897902231770788
6640.48735386695,-0.22329276732670897,-0.2301788246047107
5428.79493104084,-0.3065268769995957,-0.2958564861107593
5426.555138650892,-0.34709835446925424,-0.3467499254675599
5425.235616084781,-0.2989743599190476,-0.3299255295117855
5419.3705026663965,-0.30698494345213745,-0.35661560712570556
5427.671620341303,-0.323487531556503,-0.32355766170048383
