mjd,mJyas2,mJyas2_err,phase,4model_flag
56342.286605,9.507000288495579,0.6218643270645204,-1087.7133949999989,True
56343.278127,8.366243386279818,1.5057104320780732,-1086.7218730000022,True
56343.28397,10.726018077693398,1.533949562462133,-1086.7160300000032,True
56343.286605,11.249006772406187,1.4673052147557517,-1086.7133949999989,True
56344.28397,11.559103612926156,1.0311695723486016,-1085.7160300000032,True
56344.286605,10.224372740068256,1.0554231814099115,-1085.7133949999989,True
56345.278127,10.591589847578904,0.5489954974302245,-1084.7218730000022,True
56345.28397,11.37618665159862,0.635234466257321,-1084.7160300000032,True
56345.286605,11.97363600264819,0.6432360200660207,-1084.7133949999989,True
56346.278127,11.736619713904284,0.31128530806248833,-1083.7218730000022,True
56346.28397,10.820768114992882,0.3515581409168438,-1083.7160300000032,True
56346.286605,11.625750974046412,0.3378179979430049,-1083.7133949999989,True
56347.278127,12.140367130046853,0.5547843322177057,-1082.7218730000022,True
56347.28397,11.100146507138655,0.6000474251905574,-1082.7160300000032,True
56347.286605,11.678600530177027,0.557691136353577,-1082.7133949999989,True
56348.278127,11.672799321549295,0.9313503136272845,-1081.7218730000022,True
56348.28397,10.751976705513878,0.9636352529090148,-1081.7160300000032,True
56348.286605,11.513480164659022,0.9299466206150361,-1081.7133949999989,True
56349.278127,10.374950534585178,0.6875631602402779,-1080.7218730000022,True
56349.28397,10.235650658848426,0.6964993786837678,-1080.7160300000032,True
56349.286605,10.417528987168867,0.725410673647999,-1080.7133949999989,True
56350.278127,10.82851230341066,0.3295521490849972,-1079.7218730000022,True
56350.28397,10.84369226867312,0.35379112587505274,-1079.7160300000032,True
56350.286605,10.261956825711788,0.34105954210653877,-1079.7133949999989,True
56351.278127,9.8946876563149,0.5141380538289394,-1078.7218730000022,True
56351.28397,10.720299891118028,0.5264773671208335,-1078.7160300000032,True
56351.286605,10.065194530893807,0.4931986130911789,-1078.7133949999989,True
56352.278127,8.944500505750353,0.5816555270981941,-1077.7218730000022,True
56352.28397,8.629598432396614,0.5622950681643903,-1077.7160300000032,True
56352.286605,9.503007658036392,0.5484060432770963,-1077.7133949999989,True
56353.278127,9.336811637241107,0.5365209573917745,-1076.7218730000022,True
56353.28397,9.342694542475664,0.5082830122658917,-1076.7160300000032,True
56353.286605,10.382792187945684,0.5333834079333432,-1076.7133949999989,True
56354.278127,10.1741031172809,0.5000717331732004,-1075.7218730000022,True
56354.28397,8.710689733622532,0.4881652633357433,-1075.7160300000032,True
56355.278127,9.143096211712157,0.48139967281184615,-1074.7218730000022,True
56355.28397,8.808244734034192,0.4513333072818431,-1074.7160300000032,True
56355.286605,9.02823593890091,0.42430736073802017,-1074.7133949999989,True
56356.278127,8.63538591530601,0.5010688568296082,-1073.7218730000022,True
56356.28397,8.495889742272261,0.4458989060427943,-1073.7160300000032,True
56356.286605,9.25433689482947,0.4347252451239459,-1073.7133949999989,True
56357.278127,9.257716097156528,0.4607803156656453,-1072.7218730000022,True
56357.28397,8.87518149547184,0.4008885345938004,-1072.7160300000032,True
56357.286605,8.732536016897502,0.41570048045027813,-1072.7133949999989,True
56358.278127,9.533514490255325,0.48605815000014174,-1071.7218730000022,True
56358.28397,9.743711188432654,0.4666019266977773,-1071.7160300000032,True
56358.286605,8.207086466616623,0.44540854060055884,-1071.7133949999989,True
56359.278127,9.179588279435585,0.41447482297055793,-1070.7218730000022,True
56359.28397,9.412049608224743,0.38179838464507826,-1070.7160300000032,True
56359.286605,9.11738839244761,0.3531348422543063,-1070.7133949999989,True
56360.278127,9.072621007862248,0.3375237755107589,-1069.7218730000022,True
56360.28397,8.408685350684705,0.29562267580743445,-1069.7160300000032,True
56360.286605,8.346412445600759,0.280343821771968,-1069.7133949999989,True
56361.278127,8.61217465027655,0.3341787813821482,-1068.7218730000022,True
56361.28397,8.651386196607938,0.2880611825645008,-1068.7160300000032,True
56361.286605,8.89504470613997,0.2938548507576726,-1068.7133949999989,True
