wavelength_A,flux_pickles,sptype,teff_K
2665.0,2.4606866544374384e-10,G0I,5508.08
2670.0,2.4944576959562426e-10,G0I,5508.08
2675.0,2.521864661542139e-10,G0I,5508.08
2680.0,2.542396015936532e-10,G0I,5508.08
2685.0,2.555610445487133e-10,G0I,5508.08
2690.0,2.5610435994138925e-10,G0I,5508.08
2695.0,2.558213640924123e-10,G0I,5508.08
2700.0,2.5466873054824646e-10,G0I,5508.08
2705.0,2.526458764418038e-10,G0I,5508.08
2710.0,2.4985455371329124e-10,G0I,5508.08
2715.0,2.464463355611457e-10,G0I,5508.08
2720.0,2.425727119170773e-10,G0I,5508.08
2725.0,2.3837917750846316e-10,G0I,5508.08
2730.0,2.3401897086827717e-10,G0I,5508.08
2735.0,2.2964180557139002e-10,G0I,5508.08
2740.0,2.2540237731849544e-10,G0I,5508.08
2745.0,2.2144600042572904e-10,G0I,5508.08
2750.0,2.179244562583449e-10,G0I,5508.08
2755.0,2.1495698276918773e-10,G0I,5508.08
2760.0,2.125948028730562e-10,G0I,5508.08
2765.0,2.1085783119545454e-10,G0I,5508.08
2770.0,2.0977111714337582e-10,G0I,5508.08
2775.0,2.093500095501355e-10,G0I,5508.08
2780.0,2.0961506141947694e-10,G0I,5508.08
2785.0,2.1058831067843897e-10,G0I,5508.08
2790.0,2.122909209534285e-10,G0I,5508.08
2795.0,2.1473961497875393e-10,G0I,5508.08
2800.0,2.1795480698028058e-10,G0I,5508.08
2805.0,2.219463779429276e-10,G0I,5508.08
2810.0,2.26690929916451e-10,G0I,5508.08
2815.0,2.3216130407011093e-10,G0I,5508.08
2820.0,2.383249153581346e-10,G0I,5508.08
2825.0,2.451491787347493e-10,G0I,5508.08
2830.0,2.5260085689815526e-10,G0I,5508.08
2835.0,2.606531379623078e-10,G0I,5508.08
2840.0,2.692702172346628e-10,G0I,5508.08
2845.0,2.78422146449131e-10,G0I,5508.08
2850.0,2.8807345398007556e-10,G0I,5508.08
2855.0,2.9817004421062165e-10,G0I,5508.08
2860.0,3.085986188811063e-10,G0I,5508.08
2865.0,3.1922364751579835e-10,G0I,5508.08
2870.0,3.2990790654885416e-10,G0I,5508.08
2875.0,3.4051467201479113e-10,G0I,5508.08
2880.0,3.5090749750388284e-10,G0I,5508.08
2885.0,3.6094921496143684e-10,G0I,5508.08
2890.0,3.7050368328905847e-10,G0I,5508.08
2895.0,3.7943204134194275e-10,G0I,5508.08
2900.0,3.8760475384869153e-10,G0I,5508.08
2905.0,3.949466309549621e-10,G0I,5508.08
2910.0,4.015328070039459e-10,G0I,5508.08
2915.0,4.0749212337765073e-10,G0I,5508.08
2920.0,4.129607766856225e-10,G0I,5508.08
2925.0,4.1807893258472006e-10,G0I,5508.08
2930.0,4.229805394828645e-10,G0I,5508.08
2935.0,4.2780110010021133e-10,G0I,5508.08
2940.0,4.326825009393076e-10,G0I,5508.08
2945.0,4.3775372216003916e-10,G0I,5508.08
2950.0,4.4315226488400583e-10,G0I,5508.08
2955.0,4.489645599736747e-10,G0I,5508.08
2960.0,4.5516318492033747e-10,G0I,5508.08
2965.0,4.6167253353601723e-10,G0I,5508.08
2970.0,4.684194143678155e-10,G0I,5508.08
2975.0,4.753232807352958e-10,G0I,5508.08
2980.0,4.823071386717004e-10,G0I,5508.08
2985.0,4.892986571469748e-10,G0I,5508.08
2990.0,4.962166788580191e-10,G0I,5508.08
2995.0,5.029836547265631e-10,G0I,5508.08
3000.0,5.09528308434426e-10,G0I,5508.08
3005.0,5.158040106145734e-10,G0I,5508.08
3010.0,5.218377951976549e-10,G0I,5508.08
3015.0,5.276887260485807e-10,G0I,5508.08
3020.0,5.33421418147384e-10,G0I,5508.08
3025.0,5.39091160600691e-10,G0I,5508.08
3030.0,5.447642337230718e-10,G0I,5508.08
3035.0,5.504977584891435e-10,G0I,5508.08
3040.0,5.563556837451245e-10,G0I,5508.08
3045.0,5.623943533095144e-10,G0I,5508.08
3050.0,5.68676827850112e-10,G0I,5508.08
3055.0,5.752290865856935e-10,G0I,5508.08
3060.0,5.820078308182985e-10,G0I,5508.08
3065.0,5.88935733514262e-10,G0I,5508.08
3070.0,5.959351345730113e-10,G0I,5508.08
3075.0,6.029262089590759e-10,G0I,5508.08
3080.0,6.098324623060591e-10,G0I,5508.08
3085.0,6.165744581565491e-10,G0I,5508.08
3090.0,6.230785332128619e-10,G0I,5508.08
3095.0,6.29261753815058e-10,G0I,5508.08
3100.0,6.350476255967408e-10,G0I,5508.08
3105.0,6.403755303807657e-10,G0I,5508.08
3110.0,6.452170464577023e-10,G0I,5508.08
3115.0,6.495519677685024e-10,G0I,5508.08
3120.0,6.53368026348744e-10,G0I,5508.08
3125.0,6.566525656559463e-10,G0I,5508.08
3130.0,6.593874335436567e-10,G0I,5508.08
3135.0,6.615620828931412e-10,G0I,5508.08
3140.0,6.631611926266601e-10,G0I,5508.08
3145.0,6.641656113970384e-10,G0I,5508.08
3150.0,6.64571175867934e-10,G0I,5508.08
3155.0,6.64417298956721e-10,G0I,5508.08
3160.0,6.63872901096596e-10,G0I,5508.08
3165.0,6.63156862756864e-10,G0I,5508.08
3170.0,6.62497945391749e-10,G0I,5508.08
3175.0,6.621133641360188e-10,G0I,5508.08
3180.0,6.622337123118882e-10,G0I,5508.08
3185.0,6.630804794127698e-10,G0I,5508.08
3190.0,6.648797623576286e-10,G0I,5508.08
3195.0,6.842160726883151e-10,G0I,5508.08
3200.0,7.903004917153567e-10,G0I,5508.08
3205.0,8.363900683150405e-10,G0I,5508.08
3210.0,8.552343278012131e-10,G0I,5508.08
3215.0,8.487782143795641e-10,G0I,5508.08
3220.0,8.200956580495244e-10,G0I,5508.08
3225.0,7.844830340886233e-10,G0I,5508.08
3230.0,7.743008456628786e-10,G0I,5508.08
3235.0,8.061434297879089e-10,G0I,5508.08
3240.0,8.401570550375936e-10,G0I,5508.08
3245.0,8.394233086406189e-10,G0I,5508.08
3250.0,8.301788700926238e-10,G0I,5508.08
3255.0,8.458322375837213e-10,G0I,5508.08
3260.0,8.742760959634666e-10,G0I,5508.08
3265.0,8.899705972176264e-10,G0I,5508.08
3270.0,8.804544315843543e-10,G0I,5508.08
3275.0,8.514481897314852e-10,G0I,5508.08
3280.0,8.405012241752274e-10,G0I,5508.08
3285.0,8.747916835361025e-10,G0I,5508.08
3290.0,9.238204645711789e-10,G0I,5508.08
3295.0,9.55603929320148e-10,G0I,5508.08
3300.0,9.927718647162465e-10,G0I,5508.08
3305.0,9.811457202246743e-10,G0I,5508.08
3310.0,9.472962414491803e-10,G0I,5508.08
3315.0,9.067566142384464e-10,G0I,5508.08
3320.0,9.058604977241203e-10,G0I,5508.08
3325.0,9.641137888038998e-10,G0I,5508.08
3330.0,9.96773441563903e-10,G0I,5508.08
3335.0,9.39050281978382e-10,G0I,5508.08
3340.0,8.794122652311387e-10,G0I,5508.08
3345.0,9.061090211481826e-10,G0I,5508.08
3350.0,9.538717593571278e-10,G0I,5508.08
3355.0,9.3879681806186e-10,G0I,5508.08
3360.0,8.850063459853175e-10,G0I,5508.08
3365.0,8.48008607778894e-10,G0I,5508.08
3370.0,8.525262717995474e-10,G0I,5508.08
3375.0,8.975693521762196e-10,G0I,5508.08
3380.0,9.496690100974092e-10,G0I,5508.08
3385.0,9.795442235116525e-10,G0I,5508.08
3390.0,9.99269889057075e-10,G0I,5508.08
3395.0,1.0261057559191045e-09,G0I,5508.08
3400.0,1.0495224689321958e-09,G0I,5508.08
3405.0,1.0543296236065203e-09,G0I,5508.08
3410.0,1.0429134222889047e-09,G0I,5508.08
3415.0,1.0315690524009824e-09,G0I,5508.08
3420.0,1.0520003757008567e-09,G0I,5508.08
3425.0,1.1088847617912734e-09,G0I,5508.08
3430.0,1.1257361709482439e-09,G0I,5508.08
3435.0,1.056655762887715e-09,G0I,5508.08
3440.0,1.0113474502304598e-09,G0I,5508.08
3445.0,1.0774524605849933e-09,G0I,5508.08
3450.0,1.1333964877735525e-09,G0I,5508.08
3455.0,1.0630020197410772e-09,G0I,5508.08
3460.0,9.725875660393513e-10,G0I,5508.08
3465.0,9.855519733648066e-10,G0I,5508.08
3470.0,1.0446360443339131e-09,G0I,5508.08
3475.0,1.0595957444792248e-09,G0I,5508.08
3480.0,1.0394685112657953e-09,G0I,5508.08
3485.0,1.022286144625184e-09,G0I,5508.08
3490.0,1.0176934850392172e-09,G0I,5508.08
3495.0,1.0230692959467547e-09,G0I,5508.08
3500.0,1.0355907242853846e-09,G0I,5508.08
3505.0,1.0573211195463728e-09,G0I,5508.08
3510.0,1.0965489627423608e-09,G0I,5508.08
3515.0,1.1246230613437547e-09,G0I,5508.08
3520.0,1.107773761610531e-09,G0I,5508.08
3525.0,1.096361779140409e-09,G0I,5508.08
3530.0,1.1340188788011574e-09,G0I,5508.08
3535.0,1.2076736277677469e-09,G0I,5508.08
3540.0,1.2757960243803268e-09,G0I,5508.08
3545.0,1.2633005752604731e-09,G0I,5508.08
3550.0,1.2500299684248262e-09,G0I,5508.08
3555.0,1.2321422770966706e-09,G0I,5508.08
3560.0,1.1996624804666567e-09,G0I,5508.08
3565.0,1.1622416362655485e-09,G0I,5508.08
3570.0,1.1562698576383923e-09,G0I,5508.08
3575.0,1.1286995782455733e-09,G0I,5508.08
3580.0,1.0794141136472035e-09,G0I,5508.08
3585.0,1.0347712686709087e-09,G0I,5508.08
3590.0,1.1170732117093962e-09,G0I,5508.08
3595.0,1.229599644325674e-09,G0I,5508.08
3600.0,1.2346856870237843e-09,G0I,5508.08
3605.0,1.162649088115586e-09,G0I,5508.08
3610.0,1.117191006372309e-09,G0I,5508.08
3615.0,1.1585268300251528e-09,G0I,5508.08
3620.0,1.251712844485553e-09,G0I,5508.08
3625.0,1.303247287864906e-09,G0I,5508.08
3630.0,1.253568360226609e-09,G0I,5508.08
3635.0,1.275213490359306e-09,G0I,5508.08
3640.0,1.3300601731103256e-09,G0I,5508.08
3645.0,1.3221579386879512e-09,G0I,5508.08
3650.0,1.3339715998483825e-09,G0I,5508.08
3655.0,1.398588356238406e-09,G0I,5508.08
3660.0,1.4462184783070597e-09,G0I,5508.08
3665.0,1.4750239918370767e-09,G0I,5508.08
3670.0,1.5097008088105213e-09,G0I,5508.08
3675.0,1.503835611593729e-09,G0I,5508.08
3680.0,1.4778100965173735e-09,G0I,5508.08
3685.0,1.5050629631474521e-09,G0I,5508.08
3690.0,1.6090841992166816e-09,G0I,5508.08
3695.0,1.6918122458520202e-09,G0I,5508.08
3700.0,1.6706928063214832e-09,G0I,5508.08
3705.0,1.563112528302213e-09,G0I,5508.08
3710.0,1.5843105716228933e-09,G0I,5508.08
3715.0,1.685591555222743e-09,G0I,5508.08
3720.0,1.683033934440914e-09,G0I,5508.08
3725.0,1.6472455621752147e-09,G0I,5508.08
