wavelength_A,flux_bb_rel,teff_K
4092.0,1801692.5797543647,5530.0
4094.0,1802897.0518766271,5530.0
4096.0,1804099.0303988457,5530.0
4098.0,1805298.515195381,5530.0
4100.0,1806495.506153403,5530.0
4102.0,1807690.00317288,5530.0
4104.0,1808882.006166498,5530.0
4106.0,1810071.51505966,5530.0
4108.0,1811258.5297904117,5530.0
4110.0,1812443.0503094231,5530.0
4112.0,1813625.0765799345,5530.0
4114.0,1814804.608577721,5530.0
4116.0,1815981.6462910515,5530.0
4118.0,1817156.189720649,5530.0
4120.0,1818328.2388796438,5530.0
4122.0,1819497.7937935416,5530.0
4124.0,1820664.8545001769,5530.0
4126.0,1821829.421049675,5530.0
4128.0,1822991.4935044057,5530.0
4130.0,1824151.071938954,5530.0
4132.0,1825308.1564400678,5530.0
4134.0,1826462.7471066264,5530.0
4136.0,1827614.8440495927,5530.0
4138.0,1828764.4473919792,5530.0
4140.0,1829911.5572688044,5530.0
4142.0,1831056.1738270507,5530.0
4144.0,1832198.2972256301,5530.0
4146.0,1833337.9276353426,5530.0
4148.0,1834475.0652388216,5530.0
4150.0,1835609.7102305219,5530.0
4152.0,1836741.8628166553,5530.0
4154.0,1837871.5232151563,5530.0
4156.0,1838998.6916556545,5530.0
4158.0,1840123.3683794152,5530.0
4160.0,1841245.5536393162,5530.0
4162.0,1842365.2476997962,5530.0
4164.0,1843482.4508368229,5530.0
4166.0,1844597.163337851,5530.0
4168.0,1845709.3855017796,5530.0
4170.0,1846819.1176389162,5530.0
4172.0,1847926.3600709348,5530.0
4174.0,1849031.113130839,5530.0
4176.0,1850133.3771629187,5530.0
4178.0,1851233.1525227134,5530.0
4180.0,1852330.4395769732,5530.0
4182.0,1853425.2387036162,5530.0
4184.0,1854517.5502916917,5530.0
4186.0,1855607.3747413429,5530.0
4188.0,1856694.7124637635,5530.0
4190.0,1857779.5638811607,5530.0
4192.0,1858861.9294267134,5530.0
4194.0,1859941.8095445419,5530.0
4196.0,1861019.2046896566,5530.0
4198.0,1862094.1153279266,5530.0
4200.0,1863166.5419360423,5530.0
4202.0,1864236.4850014697,5530.0
4204.0,1865303.945022416,5530.0
4206.0,1866368.9225077906,5530.0
4208.0,1867431.4179771682,5530.0
4210.0,1868491.4319607406,5530.0
4212.0,1869548.9649993044,5530.0
4214.0,1870604.0176441728,5530.0
4216.0,1871656.5904572022,5530.0
4218.0,1872706.684010692,5530.0
4220.0,1873754.2988873876,5530.0
4222.0,1874799.4356804295,5530.0
4224.0,1875842.0949933045,5530.0
4226.0,1876882.2774398231,5530.0
4228.0,1877919.9836440787,5530.0
4230.0,1878955.214240396,5530.0
4232.0,1879987.9698733098,5530.0
4234.0,1881018.2511975234,5530.0
4236.0,1882046.0588778553,5530.0
4238.0,1883071.3935892284,5530.0
4240.0,1884094.2560166013,5530.0
4242.0,1885114.6468549613,5530.0
4244.0,1886132.5668092635,5530.0
4246.0,1887148.0165944048,5530.0
4248.0,1888160.9969351788,5530.0
4250.0,1889171.5085662494,5530.0
4252.0,1890179.5522320995,5530.0
4254.0,1891185.1286870067,5530.0
4256.0,1892188.2386949947,5530.0
4258.0,1893188.8830298053,5530.0
4260.0,1894187.0624748585,5530.0
4262.0,1895182.7778232028,5530.0
4264.0,1896176.0298775048,5530.0
4266.0,1897166.8194499891,5530.0
4268.0,1898155.1473624054,5530.0
4270.0,1899141.0144459985,5530.0
4272.0,1900124.42154147,5530.0
4274.0,1901105.3694989379,5530.0
4276.0,1902083.8591778988,5530.0
4278.0,1903059.891447195,5530.0
4280.0,1904033.4671849776,5530.0
4282.0,1905004.5872786734,5530.0
4284.0,1905973.252624933,5530.0
4286.0,1906939.4641296144,5530.0
4288.0,1907903.2227077382,5530.0
4290.0,1908864.5292834442,5530.0
4292.0,1909823.3847899653,5530.0
4294.0,1910779.7901695853,5530.0
4296.0,1911733.7463736115,5530.0
4298.0,1912685.2543623245,5530.0
4300.0,1913634.3151049542,5530.0
4302.0,1914580.929579636,5530.0
4304.0,1915525.0987733854,5530.0
4306.0,1916466.8236820472,5530.0
4308.0,1917406.105310272,5530.0
4310.0,1918342.944671478,5530.0
4312.0,1919277.3427878097,5530.0
4314.0,1920209.3006901108,5530.0
4316.0,1921138.8194178785,5530.0
4318.0,1922065.9000192392,5530.0
4320.0,1922990.5435509025,5530.0
4322.0,1923912.7510781388,5530.0
4324.0,1924832.523674726,5530.0
4326.0,1925749.8624229354,5530.0
4328.0,1926664.7684134776,5530.0
4330.0,1927577.242745481,5530.0
4332.0,1928487.2865264488,5530.0
4334.0,1929394.9008722247,5530.0
4336.0,1930300.0869069719,5530.0
4338.0,1931202.8457631066,5530.0
4340.0,1932103.1785813014,5530.0
4342.0,1933001.0865104229,5530.0
