Teff,ebv,ln_sigma_caii,v_MarIMACS200,v_AprIMACS300,v_AprWFCCD,ln_cal_blue_MarIMACS200,ln_cal_blue_AprIMACS300,ln_cal_blue_AprWFCCD,ln_cal_nir_MarIMACS200,ln_cal_nir_AprIMACS300,ln_cal_nir_AprWFCCD
5391.2957539057215,0.9124417463268499,-0.6299940434968223,-335.09163834907577,-309.6031257509719,-348.4667159990126,0.1686673150663322,-0.017729844405399875,0.4844527373927637,0.6628158368900224,1.0179492919009272,0.7543591439751978
5405.043971994057,0.8974398385967015,-0.5909178988746424,-337.6308285443594,-309.28737080577616,-344.94344762792895,0.33418889150678066,-0.19098776123714192,0.24226092083758016,0.6473514744383928,1.0107623808709172,0.6987652272607888
5400.683084863766,0.8856145717240689,-0.5784056983539142,-335.4325482084699,-309.4534559590593,-349.06060413644593,-0.06304942429478838,-0.052798150282841544,0.3241297204986585,0.6640562645994355,0.9876237349599559,0.7033394129529169
5395.007761619123,0.8746001151969713,-0.6351370278114339,-336.8278926200948,-307.32137890398644,-347.1982701209675,-0.1713837043013447,0.04228365549807478,0.24030715419049645,0.6572236861151287,0.9725742876512338,0.6632163353672849
5390.73849887151,0.9017491303238641,-0.6022914557984985,-336.44182911596164,-309.5574840800605,-349.03902630940814,0.08911800529556857,-0.10877394137838689,0.27635074162004214,0.6795108375386937,0.9896010822952769,0.6890314934797973
5395.910643915244,0.8995095054861107,-0.609745182194215,-336.15304820519793,-309.082544455822,-347.7159365286663,0.2702800522080185,0.3311633355578076,0.29436119731348087,0.6615499996017355,1.011588352074298,0.712998259647417
5391.15854441234,0.8625520690322009,-0.6056781367609281,-337.4830253311413,-309.6046792241374,-330.4097347786373,-0.055573150176111336,0.1445194415814393,0.2862485877736136,0.6249228234595299,0.9530272266738002,0.6992548589720771
5396.977799560652,0.9179036521869762,-0.6191649676087747,-337.49907645868404,-309.02515227401324,-349.17626327733615,-0.08022759205178664,-0.05802578959856519,0.1347436165708094,0.6990802354253175,0.9932135647449014,0.7437627624434259
5412.337918422827,0.8963651362815411,-0.6148873841293232,-335.67646044320605,-309.16516824737465,-345.73826433935454,-0.009276568593216926,0.14807110814568938,0.3411737641827811,0.6625260385046577,0.9656500821765397,0.7191368242924624
5396.317514454965,0.8889364624334458,-0.5646238822392888,-333.4277653033177,-301.5061993692076,-349.0153108065582,-0.3008170287301591,-0.14359554213734943,-0.02039231149298626,0.6602357328950508,0.9763192524056526,0.7311314586197032
5395.553530894472,0.8947897587843289,-0.6101091136392548,-337.8753824921413,-306.7280647638301,-346.860936410152,-0.2646380817984034,0.25278970758863384,0.37329162479225275,0.6860913785345024,0.9755627368087388,0.710002787419789
5410.919677842413,0.881357208433216,-0.6365076397424642,-337.2826611540892,-309.7252935944121,-349.8783269280157,0.05932630603516148,0.09824247710774611,0.5028698970743063,0.6578677784311414,0.9586172749480932,0.7061096389168662
5390.893204833098,0.8723636157775457,-0.6258748308935377,-337.8584605389826,-306.34485376803406,-346.4655404710262,0.035817391191082876,0.2214802669202115,0.12262110370096535,0.6307306583558956,0.9516913662947684,0.7034415739550794
5399.78143971545,0.926072775976946,-0.6164134244820808,-336.410942980472,-308.4446997985007,-348.58148512355154,-0.5007728096675403,0.01891215313126037,0.2690421673606761,0.6818176616041562,1.0271594169643974,0.7630223108629048
5395.955772904788,0.9028615555385376,-0.5927187612485307,-337.80831274539133,-305.17725055647344,-349.68109929306627,0.03537414935427688,0.041183797198794204,0.2949329256301489,0.6754340183933453,0.995271681737262,0.709225322925456
5390.137928656452,0.8713102793376747,-0.6147079837798712,-329.43702678195126,-308.7233533170959,-349.7666321649115,0.13449367178311455,0.026215967089500802,0.20236670535041573,0.6595149549377003,0.9487825223679041,0.712857330067068
5391.806085565014,0.8941065863580644,-0.5834287529525358,-330.1069541372431,-309.6374613798778,-348.9501400628754,0.01962110877765763,-0.02291310680226477,0.39919244138509513,0.664380587361398,0.9715772149133091,0.7357002751018771
5391.075568316677,0.8803177219364152,-0.6246105869195946,-336.460878835806,-309.2862807319987,-348.9779484007686,0.5137633044034827,0.0387338182518297,0.5454082461601534,0.6752675922118611,0.9479367292380897,0.6992495585245947
5390.283828335383,0.8826593606091778,-0.5955037116422912,-337.3792156811097,-309.33654881880057,-348.13270303996023,-0.1643004423022007,-0.19551395099158791,0.3277894212304161,0.6538845053313482,0.9665849302035385,0.7001394762081925
5398.991150898975,0.8866318176777225,-0.6057375259761892,-332.46012709702546,-308.28313667991534,-349.17665806781275,-0.4657167451017996,0.11512497389522527,0.32561652364448695,0.6489695454225175,0.9840516200116453,0.754675664523845
5403.083293698055,0.8790634010224305,-0.6073627763523965,-337.24126188852034,-309.35807570540607,-348.61178654711335,0.08922756783019706,-0.017173687616285377,0.41899619981197184,0.6488802309691987,0.9873670054997394,0.7129453013297272
5410.578415478252,0.8853156934015872,-0.6238986965823906,-336.71519464662737,-309.29998998203536,-344.71025041105776,0.5699301367029634,-0.13609056212882104,0.41921149460874957,0.6371637158195225,0.9709138899802393,0.6957816252713084
5393.834666316536,0.8950415391839728,-0.6018828557241924,-333.6174997756788,-308.17369741573907,-345.83379608036046,0.09696803593279602,0.0829003932388252,0.27945398315060166,0.6546072019937228,0.9841409735793717,0.7109853913064528
5396.699551637852,0.860725637625035,-0.6047221114247688,-335.05080097510216,-309.59372431955853,-349.558719210607,0.5604032672018562,0.14040226320783614,0.30215862147949785,0.6541679100840265,0.9221201913024042,0.707191697568795
5397.812017195096,0.9154961409767879,-0.5954469782460968,-334.6966889640012,-309.33849359378297,-346.49231131851496,0.15605041894078758,-0.015198924283412518,0.08227819214322546,0.6818368324211779,1.0079988244286755,0.7524437767941387
5391.306041262552,0.8967867450787378,-0.5950173340523998,-336.06740506890407,-307.8733161270813,-349.70070802301825,-0.7074706678120504,0.021354616878181493,0.35821003397715767,0.6748355989213044,0.9885781543934032,0.7074090133074183
5398.516365837291,0.8786476561469169,-0.6108226441349623,-334.65251843360056,-308.56926131939844,-349.7912591383776,-0.18053852535772877,0.12080483739165138,0.37404781112856944,0.6617097279835621,0.9792547046026128,0.7199796170671308
5393.2783734723425,0.8957245333704263,-0.6191703175668187,-334.70386276355276,-309.5003277712333,-344.5970808153803,-0.6076535653094889,-0.06109825956878993,0.21422729075090247,0.7040986662202374,0.9947615378704469,0.7220269785452065
5390.544327567273,0.9105797963518697,-0.6479171702039799,-335.8170590464536,-307.69201293216634,-345.1894708802274,0.13423830351525037,-0.06078344085393145,0.4816782130293314,0.6975823810794977,1.013657218432347,0.7423667189042945
5394.569124989532,0.92941690027375,-0.5812889825211455,-332.8798431667113,-309.23552481991004,-347.2039694152189,0.2550765687327188,0.1612076690509905,0.3956636724897954,0.6921972420283379,1.0196577758486076,0.7573836082738465
5390.293088514778,0.8882633962798802,-0.6253426400100383,-337.7622120997509,-300.9957914432007,-347.6659148966099,-0.016350265832296658,-0.3806342370057545,0.1934197438563417,0.6418405265612863,0.980660549179929,0.7055683198772911
5399.225641036804,0.8741888467292133,-0.646546539475123,-334.2790935814471,-309.2859070509748,-348.08189184806986,0.41693800966432676,-0.2670407109003673,0.2931331371383614,0.6371928853071825,0.9545273804790289,0.7063950786094921
5406.414355041952,0.8842894443347077,-0.5940463512995338,-331.3943395190573,-309.7528121198913,-349.7351175755565,-0.3498726534096841,-0.3757907009769677,0.4519490325579165,0.6280970817341116,0.9829482315965545,0.734988794797929
5396.56875917719,0.9233659477312519,-0.5921104671344454,-332.02837102801215,-309.4125315415873,-347.2123934573785,0.2211969001516296,-0.03727092139557278,0.2808371622848561,0.7064716631628258,1.0205894430696287,0.7486250657443753
