wavelength_A,flux,flux_err
5.28352000e+03,6.87929988e-02,
5.28543000e+03,6.62430003e-02,
5.28734000e+03,6.64260015e-02,
5.28925000e+03,6.73530027e-02,
5.29116000e+03,6.10129982e-02,
5.29307000e+03,5.78919984e-02,
5.29498000e+03,6.07179999e-02,
5.29689000e+03,5.83470017e-02,
5.29880000e+03,6.35130033e-02,
5.30071000e+03,6.90520033e-02,
5.30262000e+03,6.90300018e-02,
5.30453000e+03,6.61669970e-02,
5.30644000e+03,6.12829998e-02,
5.30835000e+03,6.25590011e-02,
5.31026000e+03,6.45520017e-02,
5.31217000e+03,5.92329986e-02,
5.31408000e+03,6.66439980e-02,
5.31599000e+03,6.08570017e-02,
5.31790000e+03,5.30689992e-02,
5.31981000e+03,6.15059994e-02,
5.32172000e+03,5.22129983e-02,
5.32363000e+03,4.93759997e-02,
5.32554000e+03,5.70360012e-02,
5.32745000e+03,5.11679985e-02,
5.32936000e+03,5.93199991e-02,
5.33127000e+03,6.07100017e-02,
5.33318000e+03,6.19429983e-02,
5.33509000e+03,5.95309995e-02,
5.33700000e+03,5.22649996e-02,
5.33891000e+03,6.23559989e-02,
5.34082000e+03,7.08770007e-02,
5.34273000e+03,7.18220025e-02,
5.34464000e+03,7.12779984e-02,
5.34655000e+03,7.91679993e-02,
5.34846000e+03,8.35679993e-02,
5.35037000e+03,8.32609981e-02,
5.35228000e+03,8.83679986e-02,
5.35419000e+03,9.35489982e-02,
5.35610000e+03,8.21050033e-02,
5.35801000e+03,7.53329992e-02,
5.35992000e+03,7.10500032e-02,
5.36183000e+03,7.10140020e-02,
5.36374000e+03,6.45169988e-02,
5.36565000e+03,6.51339963e-02,
5.36756000e+03,6.49489984e-02,
5.36947000e+03,7.69160017e-02,
5.37138000e+03,8.62860009e-02,
5.37329000e+03,8.50580037e-02,
5.37520000e+03,8.09940025e-02,
5.37711000e+03,7.91480020e-02,
5.37902000e+03,8.19709972e-02,
5.38093000e+03,7.64750019e-02,
5.38284000e+03,7.41629973e-02,
5.38475000e+03,7.79139996e-02,
5.38666000e+03,8.11529979e-02,
