wavelength_A,flux,flux_err
4.50800000e+03,2.97038440e-17,
4.51000000e+03,6.18677001e-18,
4.51200000e+03,1.84590085e-17,
4.51400000e+03,1.62303639e-17,
4.51600000e+03,1.35004661e-17,
4.51800000e+03,8.54805798e-18,
4.52000000e+03,1.31758514e-17,
4.52200000e+03,1.46938925e-17,
4.52400000e+03,3.16803536e-18,
4.52600000e+03,2.51625530e-17,
4.52800000e+03,1.67633296e-17,
4.53000000e+03,8.40663491e-18,
4.53200000e+03,1.55216720e-17,
4.53400000e+03,8.06186190e-18,
4.53600000e+03,1.96403812e-17,
4.53800000e+03,1.51344108e-17,
4.54000000e+03,1.88693017e-17,
4.54200000e+03,1.01827009e-17,
4.54400000e+03,1.01533682e-17,
4.54600000e+03,1.12919724e-17,
4.54800000e+03,1.96113654e-17,
4.55000000e+03,1.87493555e-17,
4.55200000e+03,2.27186429e-17,
4.55400000e+03,1.81520054e-17,
4.55600000e+03,1.06810292e-17,
4.55800000e+03,9.58094683e-18,
4.56000000e+03,2.06163485e-17,
4.56200000e+03,2.38390160e-17,
4.56400000e+03,1.85840154e-17,
4.56600000e+03,1.42856226e-17,
4.56800000e+03,1.53406121e-17,
4.57000000e+03,2.29561132e-17,
4.57200000e+03,2.10166807e-17,
4.57400000e+03,1.80379703e-17,
4.57600000e+03,8.51316088e-18,
4.57800000e+03,8.05208793e-18,
4.58000000e+03,2.14095502e-17,
4.58200000e+03,1.39398760e-17,
4.58400000e+03,1.93390030e-17,
4.58600000e+03,2.17142405e-17,
4.58800000e+03,1.29184337e-17,
4.59000000e+03,1.92959879e-17,
4.59200000e+03,2.21262923e-17,
4.59400000e+03,1.18839020e-17,
4.59600000e+03,6.68844636e-18,
4.59800000e+03,1.62484477e-17,
4.60000000e+03,2.08872452e-17,
4.60200000e+03,1.27195794e-17,
4.60400000e+03,1.80641654e-17,
4.60600000e+03,2.22476148e-17,
4.60800000e+03,2.70808957e-17,
4.61000000e+03,2.89524629e-17,
4.61200000e+03,2.60275722e-17,
4.61400000e+03,2.02975812e-17,
4.61600000e+03,2.45764244e-17,
4.61800000e+03,2.18789967e-17,
4.62000000e+03,3.60659284e-17,
4.62200000e+03,1.96762230e-17,
4.62400000e+03,3.12520118e-17,
4.62600000e+03,2.83979839e-17,
4.62800000e+03,1.81710537e-17,
4.63000000e+03,2.64517057e-17,
4.63200000e+03,2.48298841e-17,
4.63400000e+03,2.79723664e-17,
4.63600000e+03,2.47832890e-17,
4.63800000e+03,3.46266473e-17,
4.64000000e+03,2.06446215e-17,
4.64200000e+03,2.77121404e-17,
4.64400000e+03,1.54987739e-17,
4.64600000e+03,1.81988321e-17,
4.64800000e+03,1.40117596e-17,
4.65000000e+03,2.10804216e-17,
4.65200000e+03,3.64236343e-17,
4.65400000e+03,2.62790086e-17,
4.65600000e+03,3.34365329e-17,
4.65800000e+03,2.93111053e-17,
4.66000000e+03,2.10177677e-17,
4.66200000e+03,1.54328046e-17,
4.66400000e+03,1.65307546e-17,
4.66600000e+03,1.94016255e-17,
4.66800000e+03,2.62734218e-17,
4.67000000e+03,2.44588605e-17,
4.67200000e+03,2.99008090e-17,
4.67400000e+03,4.20604864e-17,
4.67600000e+03,2.13094646e-17,
4.67800000e+03,3.18834749e-17,
4.68000000e+03,3.34435044e-17,
4.68200000e+03,3.11467647e-17,
4.68400000e+03,3.96762739e-17,
4.68600000e+03,2.88362705e-17,
