wavelength_A,flux,flux_err
4.04104632e+03,1.80482985e-17,
4.04219254e+03,1.49269026e-17,
4.04333876e+03,8.08230484e-18,
4.04448498e+03,1.18986212e-16,
4.04563120e+03,9.64035329e-17,
4.04677742e+03,2.70009917e-17,
4.04792364e+03,5.97344046e-17,
4.04906986e+03,8.06418313e-17,
4.05021608e+03,2.72072823e-17,
4.05136230e+03,9.71033111e-18,
4.05250852e+03,6.01241522e-17,
4.05365474e+03,7.63532770e-17,
4.05480097e+03,1.44001094e-17,
4.05594719e+03,1.22884184e-18,
4.05709341e+03,7.23012435e-17,
4.05823963e+03,8.33184554e-17,
4.05938585e+03,3.28158696e-17,
4.06053207e+03,1.13758351e-16,
4.06167829e+03,1.08890221e-16,
4.06282451e+03,4.35151265e-17,
4.06397073e+03,1.73396464e-18,
4.06511695e+03,6.62543083e-17,
4.06626317e+03,7.29760309e-17,
4.06740939e+03,2.82337092e-17,
4.06855561e+03,2.65653645e-18,
4.06970183e+03,1.98618506e-17,
4.07084805e+03,7.50189222e-17,
4.07199427e+03,3.39387342e-17,
4.07314049e+03,3.04641045e-18,
4.07428671e+03,1.30159425e-17,
4.07543294e+03,1.02639672e-17,
4.07657916e+03,2.64173827e-17,
4.07772538e+03,2.19217661e-20,
4.07887160e+03,6.45429312e-17,
4.08001782e+03,1.11977147e-16,
4.08116404e+03,2.91050314e-17,
4.08231026e+03,-1.82271564e-17,
4.08345648e+03,3.26401896e-17,
4.08460270e+03,6.17860772e-17,
4.08574892e+03,3.39948633e-17,
4.08689514e+03,1.27611891e-17,
4.08804136e+03,-6.30823155e-18,
4.08918758e+03,-2.38659557e-18,
4.09033380e+03,8.21229793e-18,
4.09148002e+03,8.62527694e-17,
4.09262624e+03,6.51292501e-17,
4.09377246e+03,4.07913730e-17,
4.09491869e+03,5.35428816e-17,
4.09606491e+03,2.35659455e-17,
4.09721113e+03,-4.22484773e-18,
4.09835735e+03,1.29287569e-17,
4.09950357e+03,8.37564641e-17,
4.10064979e+03,5.73723208e-17,
4.10179601e+03,7.86196593e-17,
4.10294223e+03,-5.14881467e-19,
4.10408845e+03,-1.94425991e-17,
4.10523467e+03,6.52849362e-18,
4.10638089e+03,4.67662747e-20,
4.10752711e+03,2.61714023e-17,
4.10867333e+03,4.31164155e-17,
4.10981955e+03,3.80210061e-17,
4.11096577e+03,3.05643588e-18,
4.11211199e+03,5.26482221e-18,
4.11325821e+03,9.93992998e-18,
4.11440443e+03,3.96280228e-17,
4.11555066e+03,4.59690637e-17,
4.11669688e+03,6.63756061e-17,
4.11784310e+03,2.94962804e-18,
4.11898932e+03,-1.04810318e-17,
4.12013554e+03,1.24943332e-17,
4.12128176e+03,2.67936522e-17,
4.12242798e+03,8.06213371e-17,
4.12357420e+03,9.80229705e-18,
4.12472042e+03,-2.09144760e-17,
4.12586664e+03,1.64758728e-17,
4.12701286e+03,5.56925900e-18,
4.12815908e+03,4.53286075e-17,
4.12930530e+03,1.29912777e-17,
4.13045152e+03,4.05514459e-18,
4.13159774e+03,7.48537772e-17,
4.13274396e+03,4.94121798e-17,
4.13389018e+03,1.67558037e-18,
4.13503640e+03,-8.46184756e-18,
4.13618263e+03,-7.07942527e-18,
4.13732885e+03,1.84238616e-17,
4.13847507e+03,2.06124475e-18,
4.13962129e+03,-4.37973109e-18,
4.14076751e+03,4.10349710e-17,
4.14191373e+03,1.16632458e-17,
4.14305995e+03,-1.15782968e-17,
4.14420617e+03,2.98934405e-17,
4.14535239e+03,1.92641977e-17,
4.14649861e+03,-3.19072979e-19,
4.14764483e+03,2.94846606e-18,
4.14879105e+03,-1.26125791e-18,
4.14993727e+03,2.14328072e-17,
4.15108349e+03,2.04862247e-17,
4.15222971e+03,4.15821245e-17,
4.15337593e+03,6.74700785e-18,
